sample_id,source,split,text,categories_fine,categories_coarse,sentiments,aspect_terms,is_implicit_flags,num_aspects,has_implicit,has_conflict,consistency_score,mode
synthetic_000010,yelp,train,Come on hoosiers. Boba tea is supposed to be brewed tea that is mixed with milk. It should not come from a bin of powder.,['DRINKS#QUALITY'],['Food'],['negative'],['Boba tea'],[False],1,False,False,,label
synthetic_000011,yelp,train,Worst service ever!!!! I never got my food!!!! I called them twice for them to tell me my food already on its way for 2 hours already smfh,"['SERVICE#GENERAL', 'FOOD#QUALITY']","['Service', 'Food']","['negative', 'negative']","['service', 'food']","[False, False]",2,False,False,,label
synthetic_000012,yelp,train,Epic. God I love pizza.  Obama was right.  Do I really need to say more?  Sorry this wasn't a haiku.,['FOOD#QUALITY'],['Food'],['positive'],['pizza'],[False],1,False,False,,label
synthetic_000013,yelp,train,"Honestly the music was way too loud. Normally I wouldn't care, but I went with my girlfriends grandparents and they were miserable. Not a good place to have a conversation. Food was really good though.","['AMBIENCE#GENERAL', 'FOOD#QUALITY']","['Ambience', 'Food']","['negative', 'positive']","['music', 'Food']","[False, False]",2,False,True,,label
synthetic_000014,yelp,train,Had the lengua burrito. It was non greesy and plated neatly. Simple food that was easy on the wallet. Think I will try the flan next time,"['FOOD#QUALITY', 'FOOD#PRICES']","['Food', 'Price']","['positive', 'positive']","['lengua burrito', 'food']","[False, False]",2,False,False,,label
synthetic_000015,yelp,train,Go to Charlie's!   You'll get a far superior burger and shake!  Bonus: You'll get treated with the courtesy a paying customer deserves.,"['FOOD#QUALITY', 'DRINKS#QUALITY', 'SERVICE#GENERAL']","['Food', 'Food', 'Service']","['positive', 'positive', 'positive']","['burger', 'shake', None]","[False, False, True]",3,True,False,,label
synthetic_000016,yelp,train,One of the worst tika masalas I ever tasted and i've order it many times from numerous places in various cities. This place is americanized and unauthentic.,"['FOOD#QUALITY', 'FOOD#STYLE_OPTIONS']","['Food', 'Food']","['negative', 'negative']","['tika masalas', 'this place']","[False, False]",2,False,False,,label
synthetic_000017,yelp,train,"A few years ago my parents, my brothers and i went to this restaraunt for my birthday. We ordered the usual huge spread because we love thai food. But there was a surprise in the tea. A roach, swimming around. The server brought a new pot (no apology) and that was all. No taking the tea off the bill, no acknowledgement of what happened, nothing. We haven't eaten there since.","['FOOD#STYLE_OPTIONS', 'DRINKS#QUALITY', 'SERVICE#GENERAL']","['Food', 'Food', 'Service']","['positive', 'negative', 'negative']","['thai food', 'tea', None]","[False, False, True]",3,True,True,,label
synthetic_000018,yelp,train,"The music is absolutely lovely, but don't get the old New Orleans fashioned.... it's worse than cough syrup and I got it without the simple syrup","['AMBIENCE#GENERAL', 'DRINKS#QUALITY']","['Ambience', 'Food']","['positive', 'negative']","['music', 'old New Orleans fashioned']","[False, False]",2,False,True,,label
synthetic_000019,yelp,train,"I had the banana foster french toast. To die for. Husband ordered Migos-something (scrambled eggs with chorizo) equally delicious!  Although there was a line when we arrived, our total wait time was less than 10 mins. Janet the hostess was friendly and hustled to get tables sat. I immediately became obsessed with the trendy decor and layout of what used to be a classic front porch- turned restaurant.","['FOOD#QUALITY', 'FOOD#QUALITY', 'SERVICE#GENERAL', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","['Food', 'Food', 'Service', 'Service', 'Ambience']","['positive', 'positive', 'positive', 'positive', 'positive']","['banana foster french toast', 'Migos-something', None, 'Janet the hostess', 'trendy decor and layout']","[False, False, True, False, False]",5,True,False,,label
synthetic_000020,yelp,train,"As good as it gets in a mall food court concept (even an upscale one). The salads and bowls were delicious. The frescas were delicious (the lime, ginger, cucumber one in particular). The service was fast and helpful. I liked how they let you customize the bowls on the menu. We were able to make a bowl that had chicken, vegetarian by adding tofu. Will definitely be back.","['FOOD#QUALITY', 'DRINKS#QUALITY', 'SERVICE#GENERAL', 'FOOD#STYLE_OPTIONS']","['Food', 'Food', 'Service', 'Food']","['positive', 'positive', 'positive', 'positive']","['salads and bowls', 'frescas', 'service', 'customize the bowls']","[False, False, False, False]",4,False,False,,label
synthetic_000021,yelp,train,The food here is delicious and the portions are amazing for the price.  The girl who works behind the counter is an absolute sweetheart.  Always smiling and happy.   I wish I worked closer so I could come more often.,"['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#PRICES', 'SERVICE#GENERAL']","['Food', 'Food', 'Price', 'Service']","['positive', 'positive', 'positive', 'positive']","['food', 'portions', 'price', 'girl who works behind the counter']","[False, False, False, False]",4,False,False,,label
synthetic_000022,yelp,train,"Dirty inside the restaurant. We ordered carry out and got back to our room, no napkins, plastic ware, or sauces. The food was just so so. Too much ginger in the general tso chicken and the crab Rangoon was lacking in the filling department. Overall, I would not recommend and we will not order again.","['AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'RESTAURANT#GENERAL']","['Ambience', 'Service', 'Food', 'Food', 'Food', 'General']","['negative', 'negative', 'neutral', 'negative', 'negative', 'negative']","['inside the restaurant', None, 'food', 'general tso chicken', 'crab Rangoon', None]","[False, True, False, False, False, True]",6,True,True,,label
synthetic_000023,yelp,train,Oh man! This is the spot right here! Everything is made to order and sooo worth the wait. I'm from Chicago and have been a self proclaimed sandwich expert for most of my life...this place deserves every bit of those 5 stars! Well done guys!,"['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'SERVICE#GENERAL']","['General', 'Food', 'Service']","['positive', 'positive', 'positive']","[None, None, None]","[True, True, True]",3,True,False,,label
synthetic_000024,yelp,train,"Overrated! There are so many great or just average places to eat in the city don't waste your time here. The char grill oysters were pretty good but an $80.00 lunch needs to be better than this. We ordered 2 small appetizers, a sandwich and 2 drinks and it was $80.00.","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'RESTAURANT#PRICES']","['General', 'Food', 'Price']","['negative', 'positive', 'negative']","[None, 'char grill oysters', '$80.00 lunch']","[True, False, False]",3,True,True,,label
synthetic_000025,yelp,train,"Had breakfast with the family after a quick stopover. Great food and service (thanks Jonathan!), definaelty a good find that was busy but had no wait on a Saturday.","['FOOD#QUALITY', 'SERVICE#GENERAL']","['Food', 'Service']","['positive', 'positive']","['food', 'service']","[False, False]",2,False,False,,label
synthetic_000026,yelp,train,Great food and service. The antipasto was by far the best that I have ever had.  The pasta is all fresh and full of flavor. The Fisherman's stew was loaded with great tender fish in a saffron sauce.,"['FOOD#QUALITY', 'SERVICE#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Service', 'Food', 'Food', 'Food']","['positive', 'positive', 'positive', 'positive', 'positive']","['food', 'service', 'antipasto', 'pasta', ""Fisherman's stew""]","[False, False, False, False, False]",5,False,False,,label
synthetic_000027,yelp,train,"Great food but it is a little touristy. I am spoiled because I am a local and go to the spongedocks a lot. If this is your first time in the area, Hella's is a must. Even if only for their bakery. If i could write a separate review for bakery, it would be 5 star","['FOOD#QUALITY', 'RESTAURANT#GENERAL', 'FOOD#QUALITY']","['Food', 'General', 'Food']","['positive', 'negative', 'positive']","['food', None, 'bakery']","[False, True, False]",3,True,True,,label
synthetic_000028,yelp,train,"3.5 stars. Everyone gave this place rave reviews so I had to give it a try. Remember to bring cash because no credit cards accepted! I had the chili cheese etouffee with crawfish. It came out fast, I though it was tasty, really cheesy and heavy, with really soft garlic bread. I'm usually not a big fan of heavy food but this place was pretty good. I would have to come back and try the other items again.","['FOOD#QUALITY', 'FOOD#QUALITY', 'SERVICE#GENERAL', 'RESTAURANT#PRICES']","['Food', 'Food', 'Service', 'Price']","['positive', 'positive', 'positive', 'neutral']","['chili cheese etouffee with crawfish', 'garlic bread', None, None]","[False, False, True, True]",4,True,True,,label
synthetic_000029,yelp,train,This place was absolutely disgusting and sucks that we have to wait here for our bus. The bus was 20 mins late and we couldn't even sit because the whole place was disgusting.,"['RESTAURANT#GENERAL', 'AMBIENCE#GENERAL']","['General', 'Ambience']","['negative', 'negative']","['place', None]","[False, True]",2,True,False,,label
synthetic_000030,yelp,train,"Pretty solid tourist trap type restaurant on the docks. A little bit overpriced for the food quality, but reasonable given the touristy surroundings.","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'RESTAURANT#PRICES']","['General', 'Food', 'Price']","['neutral', 'neutral', 'negative']","['restaurant', 'food', None]","[False, False, True]",3,True,True,,label
synthetic_000031,yelp,train,This publix is always clean and the staff always pleasant. Cashiers talk to you instead of being drones. Shelves always are well stocked and if out on a sale item are always happy to write a rain check. Always in and out quick. Never had to wait more than a few minutes in line. Staff always asks to help you out if you have a full buggy.,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS', 'SERVICE#GENERAL']","['General', 'Service', 'Service', 'General', 'Service']","['positive', 'positive', 'positive', 'positive', 'positive']","['publix', 'staff', 'cashiers', 'shelves', None]","[False, False, False, False, True]",5,True,False,,label
synthetic_000032,yelp,train,"I just paid $7 for .5oz of ahi tuna mixed with .5oz of avacado, romaine, and tomatoe. Grey goose martini was mostly dirty. Totally disappointed but I understand corporate training standards on drinks. Bartender was very nice, humorous. Also asked how my drink, as well as my food was on key. A+ on service. Totally cheap on food!","['FOOD#PRICES', 'DRINKS#QUALITY', 'SERVICE#GENERAL', 'SERVICE#GENERAL', 'FOOD#PRICES']","['Price', 'Food', 'Service', 'Service', 'Price']","['negative', 'negative', 'positive', 'positive', 'negative']","['.5oz of ahi tuna mixed with .5oz of avacado, romaine, and tomatoe', 'Grey goose martini', 'Bartender', None, 'food']","[False, False, False, True, False]",5,True,True,,label
synthetic_000033,yelp,train,Currently here. Took 15 minutes to get a cup of water. Our waitress is extremely rude and threw our drinks down. My experience is already ruined before my food came simply because of the lack of service. If you're hungry go somewhere else.,"['SERVICE#GENERAL', 'SERVICE#GENERAL', 'SERVICE#GENERAL']","['Service', 'Service', 'Service']","['negative', 'negative', 'negative']","[None, 'waitress', 'drinks']","[True, False, False]",3,True,False,,label
synthetic_000034,yelp,train,This place has wonderful ambiance and is spacious for group dining. The food and service however are terrible. Everyone had something that tasted funky or didn't come right. With the kitchen upstairs and our table downstairs every problem took twice as long to work out as well. It is way overpriced. I don't recommend it and won't go back.,"['AMBIENCE#GENERAL', 'FOOD#QUALITY', 'SERVICE#GENERAL', 'RESTAURANT#PRICES']","['Ambience', 'Food', 'Service', 'Price']","['positive', 'negative', 'negative', 'negative']","['ambiance', 'food', 'service', None]","[False, False, False, True]",4,True,True,,label
synthetic_000035,yelp,train,so we ordered brisket sandwiched from here waited forever for it to arrive and when the food came they had run our of brisket and given us roast beef instead. They never bothered to tell us that and some of the order was wrong completely. we called them and said they would remake the wrong items not the roast beef and they wanted the food back. the staff were very rude,"['SERVICE#GENERAL', 'FOOD#QUALITY', 'SERVICE#GENERAL']","['Service', 'Food', 'Service']","['negative', 'negative', 'negative']","[None, 'brisket sandwich', 'staff']","[True, False, False]",3,True,False,,label
synthetic_000036,yelp,train,"Finally the brick and mortar version of Spot has arrived!  Inventive burgers, the freshest ingredients and a lively, family friendly atmosphere. Get there during the off peak times if you want to be ensured a seat. This place fills up fast!  Looking forward to eating my way through the burgers, then the other hot specialty sandwiches.    Still sniffing the fat and juices on my fingers long after the burger is gone. Sad to have to wash my hands.","['FOOD#QUALITY', 'FOOD#QUALITY', 'AMBIENCE#GENERAL']","['Food', 'Food', 'Ambience']","['positive', 'positive', 'positive']","['burgers', 'ingredients', 'atmosphere']","[False, False, False]",3,False,False,,label
synthetic_000037,yelp,train,"Over priced medicore bar food.   They have a new menu. The menu on their website contained some better options. The new slimmed down menu has fewer and much less appealling offerings. It is now just over priceded bar food. Nothing special here. Burgers, wings, salads and mediocre sushi. Blah.","['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE_OPTIONS', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Price', 'Food', 'Food', 'Food', 'Food', 'Food']","['negative', 'negative', 'negative', 'neutral', 'neutral', 'neutral', 'negative']","['bar food', None, 'menu', 'burgers', 'wings', 'salads', 'sushi']","[False, True, False, False, False, False, False]",7,True,True,,label
synthetic_000038,yelp,train,"2.5 stars...  I would like to give you a better rating because you're close to being something pretty good but its really not there yet. Like others mention below, the atmosphere is fun and a good local spot but the food has no flavor. The ingredients are there - fresh and good quality, but my taste buds are left screaming for more every time!!","['AMBIENCE#GENERAL', 'RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY']","['Ambience', 'General', 'Food', 'Food']","['positive', 'positive', 'negative', 'positive']","['atmosphere', None, 'food', 'ingredients']","[False, True, False, False]",4,True,True,,label
synthetic_000039,yelp,train,I experienced the worst customer service possible I've waited 15 minutes for an employee to ask me if I was being taken care of while my food was done and sitting and also the soda's in the refrigerator were expired and out of date I contacted the manager on duty and the employee did nothing I tried giving them another chance and this continues to be an issue I will no longer come to this location,"['SERVICE#GENERAL', 'DRINKS#QUALITY', 'SERVICE#GENERAL']","['Service', 'Food', 'Service']","['negative', 'negative', 'negative']","['customer service', 'soda', None]","[False, False, True]",3,True,False,,label
synthetic_000040,yelp,train,Amazing dosas. Terrible everything else. I ordered a chicken curry and the chicken pieces in it were breaded (Were they originally chicken nuggets? Who knows!). Biriyani was bland and featured cheap cinnamon sticks instead of cinnamon bark and obviously frozen mixed veggies. I've heard they've cleaned the place up a little since my visit but the interior was horrendous and dirty.,"['FOOD#QUALITY', 'RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'AMBIENCE#GENERAL']","['Food', 'General', 'Food', 'Food', 'Food', 'Food', 'Ambience']","['positive', 'negative', 'negative', 'negative', 'negative', 'negative', 'negative']","['dosas', None, 'chicken curry', 'biriyani', 'cinnamon sticks', 'mixed veggies', 'interior']","[False, True, False, False, False, False, False]",7,True,True,,label
synthetic_000041,yelp,train,"2nd time here on Saturday at 6. Reservations were for 615 seated at 7 PM. Hostess said 20 minute wait, significantly underestimated. Same thing happened first time around. Understaffed. Squeeze you in at each table.12 people at each table only room for nine. Not enough room for dishes and drinks. Food is good but everything else below acceptable.","['SERVICE#GENERAL', 'SERVICE#GENERAL', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#QUALITY']","['Service', 'Service', 'Service', 'Ambience', 'Food']","['negative', 'negative', 'negative', 'negative', 'positive']","['Reservations', 'Hostess', None, None, 'Food']","[False, False, True, True, False]",5,True,True,,label
synthetic_000042,yelp,train,"I can't really rate or comment on the food, the front counter help seemed nice and courteous .. but my big disappointment is, how are you going to buy and be part of such a big franchise and still be so damn cheap and not accept American Express? Really dude?? All because you are to damn cheap to pay the credit card fee!. Really?? Really dude!?.","['SERVICE#GENERAL', 'RESTAURANT#PRICES', 'RESTAURANT#MISCELLANEOUS']","['Service', 'Price', 'General']","['positive', 'negative', 'negative']","['front counter help', None, None]","[False, True, True]",3,True,True,,label
synthetic_000043,yelp,train,Our waitress was great. The issue was my veggie burger was not cooked. They did take it off the bill but I don't plan on going back.,"['SERVICE#GENERAL', 'FOOD#QUALITY']","['Service', 'Food']","['positive', 'negative']","['waitress', 'veggie burger']","[False, False]",2,False,True,,label
synthetic_000044,yelp,train,"I came here for lunch and was very disappointed.  Bland and expensive for the amount and quality of food we received.  Lukewarm, nearly tasteless (how can Mexican food be tasteless???) and a total waste of my lunch hour.  Meh.  Do yourself a favor and support the many authentic, locally owned, non-chain Mexican restaurants.  I was wishing that I had gone to Mi Pueblo instead.......","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#PRICES']","['General', 'Food', 'Price']","['negative', 'negative', 'negative']","[None, 'food', 'food']","[True, False, False]",3,True,False,,label
synthetic_000045,yelp,train,"Always love coming here with my kids.  Friendly staff that are very accommodating and friendly.  The food is amazing.  Friday and Saturday nights there is buffet as well as every day at lunch.  We haven't eaten anything here that isn't good.  It is our pick amongst the St. Louis area Indian restaurants.  Even though we live in Ballwin near a few other restaurants,  this one is worth the drive!","['SERVICE#GENERAL', 'FOOD#QUALITY', 'FOOD#STYLE_OPTIONS']","['Service', 'Food', 'Food']","['positive', 'positive', 'positive']","['staff', 'food', 'buffet']","[False, False, False]",3,False,False,,label
synthetic_000046,yelp,train,This place used to be much worse but the food has gotten better and the place renovated so the atmosphere is better.,"['FOOD#QUALITY', 'AMBIENCE#GENERAL', 'AMBIENCE#GENERAL']","['Food', 'Ambience', 'Ambience']","['positive', 'positive', 'positive']","['food', 'place', 'atmosphere']","[False, False, False]",3,False,False,,label
synthetic_000047,yelp,train,"Food was awful!!!!! Tarter sauce tasted old, gumbo tasted like air freshener, and even the salad was horrible, payed way too much for food that was uneatable, very bad experience","['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#PRICES']","['Food', 'Food', 'Food', 'Food', 'Price']","['negative', 'negative', 'negative', 'negative', 'negative']","['Food', 'Tarter sauce', 'gumbo', 'salad', None]","[False, False, False, False, True]",5,True,False,,label
synthetic_000048,yelp,train,"I visited Clayton Barber for the first time today, and will never be back. I'm glad that they are successful enough to run an appointment only barber, but rudely  turning away business with an empty shop is ridiculous.",['SERVICE#GENERAL'],['Service'],['negative'],[None],[True],1,True,False,,label
synthetic_000049,yelp,train,"Great rich food,  but a lil bit pricey.  Everything tastes wonderful but nothing stays the same the menu is always changing.  The most unique donuts you will find.","['FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE_OPTIONS', 'FOOD#QUALITY']","['Food', 'Price', 'Food', 'Food']","['positive', 'negative', 'neutral', 'positive']","['food', 'food', 'menu', 'donuts']","[False, False, False, False]",4,False,True,,label
synthetic_000050,yelp,train,I am new to homebrewing and am so thankful for this place! I've been in once and they answered all my questions. I've even called in when I was having trouble getting my keg tapped and they very pleasantly helped me figure out was was wrong! I love Philly Homebrew Outlet and will be purchasing from them in the future!,"['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","['General', 'Service']","['positive', 'positive']","['this place', None]","[False, True]",2,True,False,,label
synthetic_000051,yelp,train,"Had the greek lasagna and greek potatoes.  Pretty good lunch, tasted pretty healthy and I'm not dead tired after lunch.  Best thing about this place...like many hot spots in South Tampa there are smoking hot girls in and out all day.  Now that's yummy.","['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'AMBIENCE#GENERAL']","['Food', 'Food', 'Food', 'Ambience']","['positive', 'positive', 'positive', 'positive']","['greek lasagna', 'greek potatoes', 'lunch', None]","[False, False, False, True]",4,True,False,,label
synthetic_000052,yelp,train,"I went here with a friend of mine for a delightful mid-morning / afternoon treat.  We browsed the farmers market and found some amazing honey, salsa, meats, and more!  Then, we ended up eating in the kitchen and it was delicious!  Followed by lunch we went to the store and bought some macaroons - which was my first time to have these delicacies and they were out of this world!  Overall, we had a lovely time!","['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'AMBIENCE#GENERAL']","['Food', 'Food', 'Food', 'Food', 'Food', 'Ambience']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']","['honey', 'salsa', 'meats', 'lunch', 'macaroons', 'farmers market']","[False, False, False, False, False, False]",6,False,False,,label
synthetic_000053,yelp,train,If I could give this 0/5 stars I would. The front desk staff is EXTREMELY RUDE. They are unwilling to help with anything. They overcharge you for everything. Housekeeping threw away some of our personal belongings when they cleaned the room. We ended up moving to a different hotel during the middle of our stay. Stay away from Royal Sonesta!,"['SERVICE#GENERAL', 'RESTAURANT#PRICES', 'SERVICE#GENERAL']","['Service', 'Price', 'Service']","['negative', 'negative', 'negative']","['front desk staff', None, 'housekeeping']","[False, True, False]",3,True,False,,label
synthetic_000054,yelp,train,Great place for breakfast. Homemade corn beef hash and biscuits and gravy. Beautiful setting.  Friendly service. Fair prices.  Just a super place to come for breakfast along the water.,"['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#PRICES']","['General', 'Food', 'Ambience', 'Service', 'Price']","['positive', 'positive', 'positive', 'positive', 'positive']","['place', 'corn beef hash and biscuits and gravy', 'setting', 'service', 'prices']","[False, False, False, False, False]",5,False,False,,label
synthetic_000055,yelp,train,Great seafood - Love the fried shrimp. My husband got the stuff I tried it but didn't like it so much. He's had the stuffed Mirliton,"['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Food', 'Food']","['positive', 'positive', 'negative']","['seafood', 'fried shrimp', 'stuffed Mirliton']","[False, False, False]",3,False,True,,label
synthetic_000056,yelp,train,"I love the bacon cheese burger, but everytime I come here no matter how busy it is or even when it's dead I get crap service with crap attitudes from servers. The food and its location being really close to my house are the only reasons I come back.","['FOOD#QUALITY', 'SERVICE#GENERAL', 'FOOD#QUALITY', 'LOCATION#GENERAL']","['Food', 'Service', 'Food', 'General']","['positive', 'negative', 'positive', 'positive']","['bacon cheese burger', None, 'food', 'location']","[False, True, False, False]",4,True,True,,label
synthetic_000057,yelp,train,"The quality of the sushi itself is okay, but what really made Crazy Sushi stand out for me was the presentation. I had ordered three rolls and they were arranged neatly on a large platter with a fake bonzai tree! Seaweed salad was good, much better for the price than at Fuji Mountain. A nice BYO location that isn't too far from Penn's campus.","['FOOD#QUALITY', 'FOOD#STYLE_OPTIONS', 'FOOD#QUALITY', 'FOOD#PRICES', 'LOCATION#GENERAL']","['Food', 'Food', 'Food', 'Price', 'General']","['neutral', 'positive', 'positive', 'positive', 'positive']","['sushi', 'presentation', 'seaweed salad', 'seaweed salad', 'location']","[False, False, False, False, False]",5,False,True,,label
synthetic_000058,yelp,train,Go here for breakfast almost every weekend. Great huevos rancheros and enchiladas montadas. They are willing to make something special if you want.,"['FOOD#QUALITY', 'FOOD#QUALITY', 'SERVICE#GENERAL']","['Food', 'Food', 'Service']","['positive', 'positive', 'positive']","['huevos rancheros', 'enchiladas montadas', None]","[False, False, True]",3,True,False,,label
synthetic_000059,yelp,train,Don't be cheated - this is an American restaurant. Too much salad dressing on every dish. The only good thing is the uni.,"['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY']","['General', 'Food', 'Food']","['negative', 'negative', 'positive']","[None, 'salad dressing', 'uni']","[True, False, False]",3,True,True,,label
synthetic_000060,yelp,train,"When I ate here I chose something a little off compared to the other things on the menu. Unfortunately my sense of trying something new was unsuccessful because I didn't really like the meal. Every pasta I had tasted dry to me, like it needed more sauce. But the environment there is perfect and you feel amazing . Just wish they could work on the food a bit.","['FOOD#QUALITY', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'FOOD#QUALITY']","['Food', 'Food', 'Ambience', 'Food']","['negative', 'negative', 'positive', 'negative']","['meal', 'pasta', 'environment', 'food']","[False, False, False, False]",4,False,True,,label
synthetic_000061,yelp,train,"Mediocre bbq and service. Lukewarm food. The way they bring food out is like this: one person gets their plate, another person gets their plate in about 10 min, and the third person gets theirs in about 5 min after that. Portions of the actual meat are pretty small. Bbq sauce is given if requested but they don't volunteer it. It is given in a small plate so you have a limit.","['FOOD#QUALITY', 'SERVICE#GENERAL', 'FOOD#QUALITY', 'SERVICE#GENERAL', 'FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Service', 'Food', 'Service', 'Food', 'Food']","['negative', 'negative', 'negative', 'negative', 'negative', 'negative']","['bbq', 'service', 'food', None, 'portions', 'bbq sauce']","[False, False, False, True, False, False]",6,True,False,,label
synthetic_000062,yelp,train,"So the atmosphere isn't that great. Kind of like a cafeteria that plays TMZ. I'm a vegetarian so there isn't much for me here. Which should have been obvious due to the ""7 course beef"" offering. I got the lemongrass tofu which was ok....I won't be returning to this place.","['AMBIENCE#GENERAL', 'FOOD#STYLE_OPTIONS', 'FOOD#QUALITY', 'RESTAURANT#GENERAL']","['Ambience', 'Food', 'Food', 'General']","['negative', 'negative', 'neutral', 'negative']","['atmosphere', '7 course beef', 'lemongrass tofu', None]","[False, False, False, True]",4,True,True,,label
synthetic_000063,yelp,train,"Like walking into a cave with Bacchus himself trying to sell you a bottle or 10. Best selection in town and by far the most enthusiasm for wine, which, in New Orleans, is saying something. Make the trip out.","['FOOD#STYLE_OPTIONS', 'AMBIENCE#GENERAL', 'SERVICE#GENERAL']","['Food', 'Ambience', 'Service']","['positive', 'positive', 'positive']","['selection', None, 'enthusiasm for wine']","[False, True, False]",3,True,False,,label
